year,state,number,gender,name
1911,CA,68,M,Thomas
1911,CA,9,M,Tom
1911,CO,27,M,Thomas
1911,CO,5,M,Tom
1911,CT,58,M,Thomas
1911,DC,19,M,Thomas
1911,DE,9,M,Thomas
1911,FL,39,M,Thomas
1911,FL,5,M,Tom
1911,GA,15,F,Tommie
1911,GA,163,M,Thomas
1911,GA,35,M,Tom
1911,GA,30,M,Tommie
1911,GA,11,M,Tommy
1911,HI,8,M,Thomas
1911,IA,18,M,Thomas
1911,ID,8,M,Thomas
1911,IL,130,M,Thomas
1911,IN,37,M,Thomas
1911,KS,22,M,Thomas
1911,KY,85,M,Thomas
1911,KY,10,M,Tom
1911,LA,67,M,Thomas
1911,LA,9,M,Tom
1911,LA,6,M,Tommie
1911,MA,203,M,Thomas
1911,MD,69,M,Thomas
1911,ME,22,M,Thomas
1911,MI,36,M,Thomas
1911,MI,11,M,Tom
1911,MN,20,M,Thomas
1911,MO,87,M,Thomas
1911,MO,7,M,Tom
1911,MS,8,F,Tommie
1911,MS,83,M,Thomas
1911,MS,38,M,Tom
1911,MS,28,M,Tommie
1911,MS,11,M,Tommy
1911,MT,13,M,Thomas
1911,NC,127,M,Thomas
1911,NC,15,M,Tom
1911,NC,11,M,Tommie
1911,ND,8,M,Thomas
1911,NE,18,M,Thomas
1911,NH,17,M,Thomas
1911,NJ,138,M,Thomas
1911,NM,11,M,Tom
1911,NM,10,M,Thomas
1911,NY,444,M,Thomas
1911,NY,5,M,Tom
1911,OH,92,M,Thomas
1911,OH,5,M,Tom
1911,OK,5,F,Tommie
1911,OK,52,M,Thomas
1911,OK,12,M,Tom
1911,OR,14,M,Thomas
1911,OR,6,M,Tom
1911,PA,332,M,Thomas
1911,PA,5,M,Tom
1911,RI,36,M,Thomas
1911,SC,118,M,Thomas
1911,SC,11,M,Tom
1911,SC,6,M,Tommie
1911,SC,6,M,Tommy
1911,SD,11,M,Thomas
1911,TN,6,F,Tommie
1911,TN,88,M,Thomas
1911,TN,24,M,Tom
1911,TN,5,M,Tommie
1911,TN,5,M,Tommy
1911,TX,16,F,Tommie
1911,TX,139,M,Thomas
1911,TX,50,M,Tom
1911,TX,24,M,Tommie
1911,TX,11,M,Tomas
1911,TX,8,M,Tommy
1911,UT,10,M,Thomas
1911,VA,104,M,Thomas
1911,VA,13,M,Tom
1911,VT,5,M,Thomas
1911,WA,28,M,Thomas
1911,WI,20,M,Thomas
1911,WV,36,M,Thomas
1911,WY,7,M,Thomas
1912,AL,16,F,Tommie
1912,AL,186,M,Thomas
1912,AL,47,M,Tom
1912,AL,32,M,Tommie
1912,AL,9,M,Tommy
1912,AR,5,F,Tommie
1912,AR,111,M,Thomas
1912,AR,15,M,Tom
1912,AR,13,M,Tommie
1912,AR,5,M,Tommy
1912,AZ,19,M,Thomas
1912,AZ,10,M,Tom
1912,CA,117,M,Thomas
1912,CA,20,M,Tom
1912,CO,49,M,Thomas
1912,CO,5,M,Tom
1912,CT,83,M,Thomas
1912,DC,27,M,Thomas
1912,DE,17,M,Thomas
1912,FL,81,M,Thomas
1912,FL,11,M,Tom
1912,FL,5,M,Tommie
1912,GA,27,F,Tommie
1912,GA,239,M,Thomas
1912,GA,59,M,Tom
1912,GA,42,M,Tommie
1912,GA,10,M,Tommy
1912,HI,23,M,Thomas
1912,IA,60,M,Thomas
1912,ID,22,M,Thomas
1912,IL,281,M,Thomas
1912,IL,11,M,Tom
1912,IN,105,M,Thomas
1912,KS,59,M,Thomas
1912,KS,6,M,Tom
1912,KY,133,M,Thomas
1912,KY,18,M,Tom
1912,KY,5,M,Tommie
1912,LA,118,M,Thomas
1912,LA,29,M,Tom
1912,LA,5,M,Tommie
1912,MA,341,M,Thomas
1912,MD,108,M,Thomas
1912,ME,27,M,Thomas
1912,MI,84,M,Thomas
1912,MN,47,M,Thomas
1912,MN,7,M,Tom
1912,MO,146,M,Thomas
1912,MO,13,M,Tom
1912,MS,8,F,Tommie
1912,MS,142,M,Thomas
1912,MS,46,M,Tom
1912,MS,23,M,Tommie
1912,MS,12,M,Tommy
1912,MT,17,M,Thomas
1912,NC,268,M,Thomas
1912,NC,20,M,Tom
1912,NC,11,M,Tommie
1912,ND,22,M,Thomas
1912,NE,37,M,Thomas
1912,NH,11,M,Thomas
1912,NJ,265,M,Thomas
1912,NM,18,M,Thomas
1912,NM,11,M,Tom
1912,NM,7,M,Tomas
1912,NV,5,M,Thomas
1912,NY,732,M,Thomas
1912,NY,9,M,Tom
1912,OH,214,M,Thomas
1912,OH,10,M,Tom
1912,OK,6,F,Tommie
1912,OK,92,M,Thomas
1912,OK,17,M,Tom
1912,OK,6,M,Tommy
1912,OK,5,M,Tommie
1912,OR,25,M,Thomas
1912,PA,598,M,Thomas
1912,PA,7,M,Tom
1912,RI,55,M,Thomas
1912,SC,176,M,Thomas
1912,SC,29,M,Tom
1912,SC,6,M,Tommie
1912,SD,12,M,Thomas
1912,TN,8,F,Tommie
1912,TN,180,M,Thomas
1912,TN,32,M,Tom
1912,TN,15,M,Tommie
1912,TN,6,M,Tommy
1912,TX,37,F,Tommie
1912,TX,5,F,Tom
1912,TX,277,M,Thomas
1912,TX,58,M,Tom
1912,TX,39,M,Tomas
1912,TX,24,M,Tommie
1912,TX,5,M,Tommy
1912,UT,18,M,Thomas
1912,VA,232,M,Thomas
1912,VA,10,M,Tom
1912,VA,6,M,Tommie
1912,VT,11,M,Thomas
1912,WA,47,M,Thomas
1912,WI,68,M,Thomas
1912,WV,70,M,Thomas
1912,WV,6,M,Tom
1912,WY,9,M,Thomas
1913,AL,18,F,Tommie
1913,AL,211,M,Thomas
1913,AL,38,M,Tommie
1913,AL,35,M,Tom
1913,AL,7,M,Tommy
1913,AR,10,F,Tommie
1913,AR,101,M,Thomas
1913,AR,16,M,Tom
1913,AR,8,M,Tommy
1913,AR,7,M,Tommie
1913,AZ,16,M,Thomas
1913,AZ,6,M,Tom
1913,CA,152,M,Thomas
1913,CA,13,M,Tom
1913,CO,29,M,Thomas
1913,CO,7,M,Tom
1913,CT,129,M,Thomas
1913,DC,28,M,Thomas
1913,DE,21,M,Thomas
1913,FL,70,M,Thomas
1913,FL,22,M,Tom
1913,GA,28,F,Tommie
1913,GA,323,M,Thomas
1913,GA,58,M,Tom
1913,GA,33,M,Tommie
1913,GA,12,M,Tommy
1913,HI,12,M,Thomas
1913,IA,86,M,Thomas
1913,ID,18,M,Thomas
1913,IL,380,M,Thomas
1913,IL,17,M,Tom
1913,IN,124,M,Thomas
1913,KS,77,M,Thomas
1913,KS,7,M,Tom
1913,KY,170,M,Thomas
1913,KY,17,M,Tom
1913,KY,8,M,Tommie
1913,LA,5,F,Tommie
1913,LA,124,M,Thomas
1913,LA,32,M,Tom
1913,LA,8,M,Tommie
1913,LA,6,M,Tommy
1913,MA,361,M,Thomas
1913,MD,138,M,Thomas
1913,ME,31,M,Thomas
1913,MI,106,M,Thomas
1913,MI,9,M,Tom
1913,MN,79,M,Thomas
1913,MO,176,M,Thomas
1913,MO,23,M,Tom
1913,MS,12,F,Tommie
1913,MS,150,M,Thomas
1913,MS,52,M,Tom
1913,MS,44,M,Tommie
1913,MS,9,M,Tommy
1913,MT,34,M,Thomas
1913,NC,269,M,Thomas
1913,NC,19,M,Tom
1913,NC,9,M,Tommie
1913,NC,5,M,Tommy
1913,ND,25,M,Thomas
1913,NE,50,M,Thomas
1913,NH,20,M,Thomas
1913,NJ,263,M,Thomas
1913,NM,17,M,Thomas
1913,NM,8,M,Tomas
1913,NM,7,M,Tom
1913,NV,5,M,Thomas
1913,NY,5,F,Thomas
1913,NY,790,M,Thomas
1913,NY,7,M,Tom
1913,OH,245,M,Thomas
1913,OH,12,M,Tom
1913,OK,5,F,Tommie
1913,OK,97,M,Thomas
1913,OK,20,M,Tom
1913,OK,9,M,Tommie
1913,OR,36,M,Thomas
1913,PA,758,M,Thomas
1913,PA,10,M,Tom
1913,RI,62,M,Thomas
1913,SC,202,M,Thomas
1913,SC,29,M,Tom
1913,SC,13,M,Tommie
1913,SC,9,M,Tommy
1913,SD,27,M,Thomas
1913,TN,15,F,Tommie
1913,TN,200,M,Thomas
1913,TN,26,M,Tom
1913,TN,12,M,Tommie
1913,TN,5,M,Tommy
1913,TX,40,F,Tommie
1913,TX,349,M,Thomas
1913,TX,67,M,Tom
1913,TX,34,M,Tommie
1913,TX,29,M,Tomas
1913,TX,15,M,Tommy
1913,UT,17,M,Thomas
1913,VA,257,M,Thomas
1913,VA,7,M,Tom
1913,VA,6,M,Tommy
1913,VT,22,M,Thomas
1913,WA,49,M,Thomas
1913,WA,8,M,Tom
1913,WI,78,M,Thomas
1913,WI,10,M,Tom
1913,WV,96,M,Thomas
1913,WY,12,M,Thomas
1914,AL,19,F,Tommie
1914,AL,265,M,Thomas
1914,AL,66,M,Tom
1914,AL,45,M,Tommie
1914,AL,14,M,Tommy
1914,AR,6,F,Tommie
1914,AR,165,M,Thomas
1914,AR,32,M,Tom
1914,AR,20,M,Tommie
1914,AR,9,M,Tommy
1914,AZ,16,M,Thomas
1914,AZ,6,M,Tom
1914,AZ,6,M,Tomas
1914,CA,175,M,Thomas
1914,CA,27,M,Tom
1914,CA,6,M,Tommy
1914,CO,48,M,Thomas
1914,CO,12,M,Tom
1914,CT,156,M,Thomas
1914,DC,44,M,Thomas
1914,DE,23,M,Thomas
1914,FL,109,M,Thomas
1914,FL,22,M,Tom
1914,FL,6,M,Tommie
1914,GA,34,F,Tommie
1914,GA,5,F,Thomas
1914,GA,395,M,Thomas
1914,GA,62,M,Tom
1914,GA,52,M,Tommie
1914,GA,24,M,Tommy
1914,HI,25,M,Thomas
1914,IA,98,M,Thomas
1914,ID,20,M,Thomas
1914,IL,441,M,Thomas
1914,IL,14,M,Tom
1914,IL,5,M,Tommy
1914,IN,159,M,Thomas
1914,IN,11,M,Tom
1914,KS,89,M,Thomas
1914,KS,9,M,Tom
1914,KY,197,M,Thomas
1914,KY,18,M,Tom
1914,KY,8,M,Tommie
1914,LA,147,M,Thomas
1914,LA,17,M,Tom
1914,LA,7,M,Tommie
1914,MA,444,M,Thomas
1914,MD,139,M,Thomas
1914,ME,33,M,Thomas
1914,MI,163,M,Thomas
1914,MN,89,M,Thomas
1914,MO,221,M,Thomas
1914,MO,19,M,Tom
1914,MO,5,M,Tommy
1914,MS,12,F,Tommie
1914,MS,184,M,Thomas
1914,MS,49,M,Tommie
1914,MS,41,M,Tom
1914,MS,12,M,Tommy
1914,MT,38,M,Thomas
1914,MT,7,M,Tom
1914,NC,359,M,Thomas
1914,NC,35,M,Tom
1914,NC,14,M,Tommie
1914,NC,9,M,Tommy
1914,ND,25,M,Thomas
1914,NE,55,M,Thomas
1914,NE,5,M,Tom
1914,NH,22,M,Thomas
1914,NJ,376,M,Thomas
1914,NM,18,M,Thomas
1914,NM,15,M,Tom
1914,NM,6,M,Tomas
1914,NY,6,F,Thomas
1914,NY,1051,M,Thomas
1914,NY,15,M,Tom
1914,NY,7,M,Tommy
1914,OH,334,M,Thomas
1914,OH,22,M,Tom
1914,OK,8,F,Tommie
1914,OK,138,M,Thomas
1914,OK,31,M,Tom
1914,OK,10,M,Tommy
1914,OK,8,M,Tommie
1914,OR,36,M,Thomas
1914,OR,5,M,Tom
1914,PA,874,M,Thomas
1914,PA,15,M,Tom
1914,RI,77,M,Thomas
1914,SC,262,M,Thomas
1914,SC,30,M,Tom
1914,SC,15,M,Tommie
1914,SC,9,M,Tommy
1914,SD,29,M,Thomas
1914,TN,20,F,Tommie
1914,TN,293,M,Thomas
1914,TN,44,M,Tom
1914,TN,17,M,Tommie
1914,TN,9,M,Tommy
1914,TX,39,F,Tommie
1914,TX,6,F,Thomas
1914,TX,6,F,Tommy
1914,TX,407,M,Thomas
1914,TX,93,M,Tom
1914,TX,38,M,Tomas
1914,TX,38,M,Tommie
1914,TX,25,M,Tommy
1914,UT,37,M,Thomas
1914,VA,290,M,Thomas
1914,VA,15,M,Tom
1914,VA,7,M,Tommy
1914,VT,16,M,Thomas
1914,WA,61,M,Thomas
1914,WA,6,M,Tom
1914,WI,99,M,Thomas
1914,WV,91,M,Thomas
1914,WV,5,M,Tom
1914,WY,10,M,Thomas
1915,AL,30,F,Tommie
1915,AL,383,M,Thomas
1915,AL,54,M,Tom
1915,AL,32,M,Tommie
1915,AL,13,M,Tommy
1915,AR,16,F,Tommie
1915,AR,159,M,Thomas
1915,AR,22,M,Tom
1915,AR,20,M,Tommie
1915,AR,8,M,Tommy
1915,AZ,23,M,Thomas
1915,AZ,8,M,Tom
1915,AZ,5,M,Tommy
1915,CA,227,M,Thomas
1915,CA,43,M,Tom
1915,CA,11,M,Tommy
1915,CO,70,M,Thomas
1915,CO,11,M,Tom
1915,CT,185,M,Thomas
1915,DC,62,M,Thomas
1915,DE,33,M,Thomas
1915,FL,126,M,Thomas
1915,FL,25,M,Tom
1915,FL,5,M,Tommie
1915,FL,5,M,Tommy
1915,GA,41,F,Tommie
1915,GA,489,M,Thomas
1915,GA,79,M,Tom
1915,GA,61,M,Tommie
1915,GA,20,M,Tommy
1915,HI,22,M,Thomas
1915,HI,6,M,Tom
1915,IA,134,M,Thomas
1915,IA,13,M,Tom
1915,IA,5,M,Tommy
1915,ID,41,M,Thomas
1915,IL,578,M,Thomas
1915,IL,32,M,Tom
1915,IN,204,M,Thomas
1915,IN,5,M,Tom
1915,KS,83,M,Thomas
1915,KS,18,M,Tom
1915,KY,319,M,Thomas
1915,KY,32,M,Tom
1915,KY,13,M,Tommie
1915,KY,7,M,Tommy
1915,LA,7,F,Tommie
1915,LA,188,M,Thomas
1915,LA,27,M,Tom
1915,LA,9,M,Tommie
1915,LA,6,M,Tommy
1915,MA,524,M,Thomas
1915,MD,191,M,Thomas
1915,ME,51,M,Thomas
1915,MI,235,M,Thomas
1915,MI,11,M,Tom
1915,MN,124,M,Thomas
1915,MN,6,M,Tom
1915,MO,267,M,Thomas
1915,MO,18,M,Tom
1915,MO,7,M,Tommy
1915,MS,8,F,Tommie
1915,MS,252,M,Thomas
1915,MS,62,M,Tommie
1915,MS,53,M,Tom
1915,MS,13,M,Tommy
1915,MT,69,M,Thomas
1915,MT,5,M,Tom
1915,NC,431,M,Thomas
1915,NC,34,M,Tom
1915,NC,19,M,Tommie
1915,NC,9,M,Tommy
1915,ND,45,M,Thomas
1915,ND,5,M,Tom
1915,NE,83,M,Thomas
1915,NE,9,M,Tom
1915,NH,31,M,Thomas
1915,NJ,430,M,Thomas
1915,NJ,6,M,Tom
1915,NM,29,M,Thomas
1915,NM,8,M,Tom
1915,NM,8,M,Tomas
1915,NV,10,M,Thomas
1915,NY,7,F,Thomas
1915,NY,1289,M,Thomas
1915,NY,14,M,Tom
1915,OH,451,M,Thomas
1915,OH,23,M,Tom
1915,OK,7,F,Tommie
1915,OK,227,M,Thomas
1915,OK,44,M,Tom
1915,OK,13,M,Tommy
1915,OK,7,M,Tommie
1915,OR,53,M,Thomas
1915,PA,6,F,Thomas
1915,PA,1183,M,Thomas
1915,PA,9,M,Tom
1915,RI,82,M,Thomas
1915,SC,346,M,Thomas
1915,SC,36,M,Tom
1915,SC,18,M,Tommie
1915,SD,37,M,Thomas
1915,TN,21,F,Tommie
1915,TN,370,M,Thomas
1915,TN,44,M,Tom
1915,TN,19,M,Tommie
1915,TN,10,M,Tommy
1915,TX,63,F,Tommie
1915,TX,8,F,Tommy
1915,TX,500,M,Thomas
1915,TX,96,M,Tom
1915,TX,42,M,Tommie
1915,TX,38,M,Tomas
1915,TX,20,M,Tommy
1915,UT,56,M,Thomas
1915,VA,386,M,Thomas
1915,VA,15,M,Tom
1915,VT,16,M,Thomas
1915,WA,84,M,Thomas
1915,WA,13,M,Tom
1915,WI,138,M,Thomas
1915,WI,11,M,Tom
1915,WV,160,M,Thomas
1915,WV,9,M,Tom
1915,WY,11,M,Thomas
1916,AL,27,F,Tommie
1916,AL,376,M,Thomas
1916,AL,52,M,Tom
1916,AL,44,M,Tommie
1916,AL,13,M,Tommy
1916,AR,12,F,Tommie
1916,AR,213,M,Thomas
1916,AR,36,M,Tom
1916,AR,20,M,Tommie
1916,AR,11,M,Tommy
1916,AZ,27,M,Thomas
1916,AZ,12,M,Tom
1916,CA,209,M,Thomas
1916,CA,35,M,Tom
1916,CA,6,M,Tommy
1916,CO,80,M,Thomas
1916,CO,19,M,Tom
1916,CT,189,M,Thomas
1916,DC,37,M,Thomas
1916,DE,29,M,Thomas
1916,FL,8,F,Tommie
1916,FL,129,M,Thomas
1916,FL,15,M,Tom
1916,FL,11,M,Tommie
1916,FL,6,M,Tommy
1916,GA,48,F,Tommie
1916,GA,500,M,Thomas
1916,GA,93,M,Tom
1916,GA,62,M,Tommie
1916,GA,19,M,Tommy
1916,HI,24,M,Thomas
1916,HI,8,M,Tom
1916,IA,135,M,Thomas
1916,IA,11,M,Tom
1916,ID,38,M,Thomas
1916,ID,8,M,Tom
1916,IL,6,F,Thomas
1916,IL,591,M,Thomas
1916,IL,21,M,Tom
1916,IL,5,M,Tommy
1916,IN,220,M,Thomas
1916,IN,8,M,Tom
1916,KS,110,M,Thomas
1916,KS,12,M,Tom
1916,KY,5,F,Tommie
1916,KY,319,M,Thomas
1916,KY,20,M,Tom
1916,KY,13,M,Tommie
1916,KY,6,M,Tommy
1916,LA,189,M,Thomas
1916,LA,32,M,Tom
1916,LA,9,M,Tommy
1916,LA,8,M,Tommie
1916,MA,601,M,Thomas
1916,MD,210,M,Thomas
1916,ME,47,M,Thomas
1916,MI,245,M,Thomas
1916,MI,13,M,Tom
1916,MN,150,M,Thomas
1916,MN,9,M,Tom
1916,MO,312,M,Thomas
1916,MO,32,M,Tom
1916,MO,8,M,Tommy
1916,MO,5,M,Tommie
1916,MS,9,F,Tommie
1916,MS,263,M,Thomas
1916,MS,74,M,Tom
1916,MS,60,M,Tommie
1916,MS,18,M,Tommy
1916,MT,71,M,Thomas
1916,MT,6,M,Tom
1916,NC,504,M,Thomas
1916,NC,40,M,Tom
1916,NC,23,M,Tommie
1916,NC,9,M,Tommy
1916,ND,37,M,Thomas
1916,NE,64,M,Thomas
1916,NE,8,M,Tom
1916,NH,33,M,Thomas
1916,NJ,496,M,Thomas
1916,NM,25,M,Thomas
1916,NM,18,M,Tom
1916,NM,5,M,Tomas
1916,NV,13,M,Thomas
1916,NY,6,F,Thomas
1916,NY,1355,M,Thomas
1916,NY,10,M,Tom
1916,OH,472,M,Thomas
1916,OH,35,M,Tom
1916,OH,5,M,Tommy
1916,OK,12,F,Tommie
1916,OK,202,M,Thomas
1916,OK,38,M,Tom
1916,OK,17,M,Tommie
1916,OK,13,M,Tommy
1916,OR,63,M,Thomas
1916,OR,8,M,Tom
1916,PA,1165,M,Thomas
1916,PA,19,M,Tom
1916,RI,86,M,Thomas
1916,SC,5,F,Tommie
1916,SC,364,M,Thomas
1916,SC,46,M,Tom
1916,SC,22,M,Tommie
1916,SC,8,M,Tommy
1916,SD,36,M,Thomas
1916,SD,5,M,Tom
1916,TN,13,F,Tommie
1916,TN,388,M,Thomas
1916,TN,49,M,Tom
1916,TN,19,M,Tommie
1916,TN,14,M,Tommy
1916,TX,56,F,Tommie
1916,TX,5,F,Thomas
1916,TX,533,M,Thomas
1916,TX,98,M,Tom
1916,TX,56,M,Tommie
1916,TX,49,M,Tomas
1916,TX,19,M,Tommy
1916,UT,39,M,Thomas
1916,UT,8,M,Tom
1916,VA,400,M,Thomas
1916,VA,18,M,Tom
1916,VT,23,M,Thomas
1916,WA,84,M,Thomas
1916,WA,12,M,Tom
1916,WI,142,M,Thomas
1916,WI,10,M,Tom
1916,WV,138,M,Thomas
1916,WV,12,M,Tom
1916,WY,18,M,Thomas
1917,AK,6,M,Thomas
1917,AL,26,F,Tommie
1917,AL,338,M,Thomas
1917,AL,63,M,Tom
1917,AL,39,M,Tommie
1917,AL,20,M,Tommy
1917,AR,10,F,Tommie
1917,AR,225,M,Thomas
1917,AR,41,M,Tom
1917,AR,16,M,Tommie
1917,AR,12,M,Tommy
1917,AZ,39,M,Thomas
1917,AZ,11,M,Tom
1917,CA,237,M,Thomas
1917,CA,44,M,Tom
1917,CA,7,M,Tomas
1917,CO,89,M,Thomas
1917,CO,15,M,Tom
1917,CO,5,M,Tommy
1917,CT,196,M,Thomas
1917,DC,77,M,Thomas
1917,DE,38,M,Thomas
1917,FL,134,M,Thomas
1917,FL,17,M,Tom
1917,FL,12,M,Tommie
1917,FL,5,M,Tommy
1917,GA,40,F,Tommie
1917,GA,548,M,Thomas
1917,GA,68,M,Tom
1917,GA,63,M,Tommie
1917,GA,16,M,Tommy
1917,HI,35,M,Thomas
1917,HI,10,M,Tom
1917,IA,167,M,Thomas
1917,IA,12,M,Tom
1917,IA,8,M,Tommy
1917,ID,43,M,Thomas
1917,IL,593,M,Thomas
1917,IL,33,M,Tom
1917,IL,6,M,Tommy
1917,IN,241,M,Thomas
1917,IN,10,M,Tom
1917,KS,117,M,Thomas
1917,KS,6,M,Tom
1917,KS,6,M,Tommy
1917,KY,342,M,Thomas
1917,KY,27,M,Tom
1917,KY,8,M,Tommie
1917,KY,8,M,Tommy
1917,LA,9,F,Tommie
1917,LA,199,M,Thomas
1917,LA,50,M,Tom
1917,LA,12,M,Tommie
1917,LA,10,M,Tommy
1917,MA,531,M,Thomas
1917,MD,213,M,Thomas
1917,ME,41,M,Thomas
1917,MI,256,M,Thomas
1917,MI,12,M,Tom
1917,MN,153,M,Thomas
1917,MN,5,M,Tom
1917,MO,315,M,Thomas
1917,MO,23,M,Tom
1917,MO,12,M,Tommy
1917,MS,14,F,Tommie
1917,MS,261,M,Thomas
1917,MS,76,M,Tom
1917,MS,69,M,Tommie
1917,MS,23,M,Tommy
1917,MT,86,M,Thomas
1917,MT,14,M,Tom
1917,NC,500,M,Thomas
1917,NC,36,M,Tom
1917,NC,24,M,Tommie
1917,NC,14,M,Tommy
1917,ND,55,M,Thomas
1917,NE,74,M,Thomas
1917,NE,9,M,Tom
1917,NH,31,M,Thomas
1917,NJ,497,M,Thomas
1917,NM,31,M,Thomas
1917,NM,21,M,Tom
1917,NM,10,M,Tomas
1917,NV,11,M,Thomas
1917,NY,7,F,Thomas
1917,NY,1343,M,Thomas
1917,NY,21,M,Tom
1917,OH,6,F,Thomas
1917,OH,513,M,Thomas
1917,OH,27,M,Tom
1917,OK,19,F,Tommie
1917,OK,194,M,Thomas
1917,OK,33,M,Tom
1917,OK,11,M,Tommie
1917,OK,10,M,Tommy
1917,OR,59,M,Thomas
1917,OR,6,M,Tom
1917,PA,1409,M,Thomas
1917,PA,19,M,Tom
1917,RI,99,M,Thomas
1917,SC,7,F,Tommie
1917,SC,330,M,Thomas
1917,SC,42,M,Tom
1917,SC,19,M,Tommie
1917,SC,9,M,Tommy
1917,SD,38,M,Thomas
1917,TN,15,F,Tommie
1917,TN,430,M,Thomas
1917,TN,33,M,Tom
1917,TN,31,M,Tommie
1917,TN,12,M,Tommy
1917,TX,67,F,Tommie
1917,TX,7,F,Tommy
1917,TX,551,M,Thomas
1917,TX,113,M,Tom
1917,TX,52,M,Tommie
1917,TX,35,M,Tommy
1917,TX,34,M,Tomas
1917,UT,58,M,Thomas
1917,VA,428,M,Thomas
1917,VA,23,M,Tom
1917,VA,5,M,Tommie
1917,VT,20,M,Thomas
1917,WA,66,M,Thomas
1917,WA,16,M,Tom
1917,WI,154,M,Thomas
1917,WI,6,M,Tom
1917,WV,182,M,Thomas
1917,WV,8,M,Tom
1917,WY,18,M,Thomas
1918,AK,5,M,Thomas
1918,AL,34,F,Tommie
1918,AL,459,M,Thomas
1918,AL,72,M,Tom
1918,AL,62,M,Tommie
1918,AL,14,M,Tommy
1918,AR,16,F,Tommie
1918,AR,248,M,Thomas
1918,AR,26,M,Tom
1918,AR,26,M,Tommie
1918,AR,16,M,Tommy
1918,AZ,51,M,Thomas
1918,AZ,16,M,Tom
1918,AZ,6,M,Tomas
1918,CA,241,M,Thomas
1918,CA,62,M,Tom
1918,CA,6,M,Tomas
1918,CA,6,M,Tommy
1918,CO,71,M,Thomas
1918,CO,25,M,Tom
1918,CT,240,M,Thomas
1918,DC,55,M,Thomas
1918,DE,37,M,Thomas
1918,FL,6,F,Tommie
1918,FL,153,M,Thomas
1918,FL,25,M,Tom
1918,FL,11,M,Tommie
1918,FL,6,M,Tommy
1918,GA,53,F,Tommie
1918,GA,547,M,Thomas
1918,GA,94,M,Tom
1918,GA,66,M,Tommie
1918,GA,21,M,Tommy
1918,HI,30,M,Thomas
1918,HI,5,M,Tom
1918,IA,179,M,Thomas
1918,IA,13,M,Tom
1918,ID,41,M,Thomas
1918,ID,7,M,Tom
1918,IL,7,F,Thomas
1918,IL,706,M,Thomas
1918,IL,35,M,Tom
1918,IL,6,M,Tommy
1918,IN,248,M,Thomas
